"nombre_barrio","cliente"
El Gran Limonar,-2.97214E+18
Parcelaciones Pance,-6.71226E+18
El Troncal,"2.78616E+18"
Saavedra Galindo,"3.68371E+18"
Santander,"5.40524E+18"
Urbanización La Flora,-5.53192E+18
Lili,"5.93614E+18"
El Sena,"6.46982E+18"
San Vicente,"6.25233E+18"
San Pedro,"8.53484E+18"
Nueva Floresta del Ict,"7.37676E+17"
Santa Mónica Residencial,-5.6408E+18
Belén,"5.28138E+18"
Unicentro Cali,"5.54028E+18"
Bolivariano,"7.45114E+18"
Calima,"6.96758E+17"
Santa Mónica Residencial,"4.30245E+17"
Calima,-2.39969E+18
San Pedro,"6.79684E+18"
El Gran Limonar,-2.37459E+18
Vipasa,"1.93725E+18"
Lili,-8.80732E+18
José M. Córdoba,"8.44052E+18"
Calima,"6.88313E+18"
Caney,-2.95783E+18
Unidad Residencial Santiago de Cali,"5.12288E+18"
Santander,"7.15297E+18"
Lili,-1.4424E+18
Calima,"8.52882E+18"
San Vicente,-6.42508E+18
San Vicente,"9.05776E+18"
San Nicolás,-1.65193E+18
San Vicente,-7.95943E+18
Urbanización Militar,-1.2349E+18
Lili,-2.3548E+18
Los Guaduales,"1.52599E+18"
San Pedro,-1.65766E+18
Chapinero,"9.19845E+18"
Lili,"8.89533E+18"
Paseo del Comercio,-2.21144E+18
Los Parques,"4.39213E+18"
Chipichape,-5.7063E+18
El Sena,-3.44515E+18
Ciudad Capri,"3.32577E+18"
San Vicente,-5.33179E+18
Santa Teresita,-7.64755E+18
Prados del Norte,-4.71497E+18
El Refugio,-6.40186E+18
Calima,-3.76264E+18
Unicentro Cali,"8.5359E+18"
San Pedro,"3.92725E+18"
Lili,-6.51465E+18
El Gran Limonar,-1.09591E+17
Chapinero,-1.34178E+18
El Sena,-3.80238E+17
Urbanización Ciudad Jardín,"7.59076E+17"
Colseguros Andes,-6.82904E+18
Bolivariano,-4.73472E+18
Los Alcázares,"5.82675E+18"
Los Alcázares,"6.81716E+18"
Primero de Mayo,-1.70204E+17
El Sena,-5.23891E+18
Belalcazar,"6.64496E+18"
Parcelaciones Pance,-7.11752E+17
Aranjuez,"8.92549E+18"
San Pedro,-4.35455E+18
El Cedro,-1.69241E+18
Los Guaduales,"7.6791E+18"
Urbanización San Juaquín,"1.5399E+18"
Urbanización Ciudad Jardín,"3.25696E+18"
San Pedro,-5.06774E+18
Lili,"2.69265E+18"
Lili,"1.24044E+18"
Unicentro Cali,-9.56015E+17
El Calvario,-6.10161E+18
Unicentro Cali,-8.88866E+18
Urbanización Militar,-1.18057E+18
San Vicente,"6.73948E+18"
Lili,"1.29446E+18"
Parcelaciones Pance,"7.95268E+18"
Unidad Residencial Santiago de Cali,"7.2364E+18"
Urbanización San Juaquín,"4.44161E+18"
Urbanización Ciudad Jardín,-4.00756E+18
El Cedro,"6.02437E+18"
Sucre,"7.67811E+18"
San Pedro,"3.52124E+18"
Junin,"7.87588E+17"
El Peñón,"4.50349E+18"
Lili,-1.24052E+18
El Jardín,-1.69548E+18
Caney,"8.91581E+18"
Vipasa,"4.55124E+18"
Santander,"3.26694E+18"
Los Parques,-2.66539E+17
Sucre,"2.36044E+18"
Unicentro Cali,"4.86831E+18"
San Vicente,-7.04748E+18
San Vicente,"3.44339E+18"
Chapinero,"4.5129E+18"
Prados del Norte,"4.02416E+18"
