publishno,bathrooms,squaremeters,rooms,cost,squaremeter_price,avg_squaremeter_total,address,url
#819615336,1,68.0,2,20000,294.12,440.31,"Carrera 19, Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-819615336
#820077266,1,68.0,2,20000,294.12,440.31,"Barquisimeto, Del Este, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-820077266
#813582786,1,68.0,2,21500,316.18,440.31,"Las Trinitarias, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-813582786
#817207278,1,68.0,2,25000,367.65,440.31,"Barquisimeto, Las Trinitarias, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-817207278
#811079552,1,68.0,2,25000,367.65,440.31,"Las Trinitarias, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-811079552
#813653948,2,62.0,2,25000,403.23,440.31,"Avenida Principal Los Crepusculos, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-813653948
#767166667,2,62.0,2,25000,403.23,440.31,"Barquisimeto, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-767166667
#813774850,2,85.0,2,36000,423.53,440.31,"Calle 10, Barquisimeto, Barquisimeto, Lara",https://apartamento.mercadolibre.com.ve/MLV-813774850
